iter	Passed	Remaining
452	599175	62166
453	600485	60842
454	601838	59522
455	603127	58196
456	604568	56885
457	605926	55565
458	607244	54241
459	608536	52916
460	609789	51587
461	611126	50265
462	612405	48939
463	613663	47611
464	614907	46283
465	616166	44956
466	617539	43637
467	618935	42320
468	620356	41004
469	621725	39684
470	623110	38365
471	624489	37045
472	625797	35722
473	627082	34396
474	628345	33070
475	629592	31744
476	630846	30418
477	632111	29092
478	633554	27775
479	634416	26434
480	635771	25113
481	637041	23789
482	638324	22466
483	639671	21146
484	640958	19823
485	642209	18499
486	643484	17177
487	644751	15854
488	646029	14532
489	647267	13209
490	648613	11889
491	650256	10573
492	651783	9254
493	653226	7933
494	654628	6612
495	656038	5290
496	657463	3968
497	658973	2646
498	660370	1323
499	661800	0
